Name,Type,HBCU,HSI,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Pell_Grant,Federal_Loan,logEndowment
San Diego State University,Public,No,Yes,23367,7661,11169,0.2569,0.2744,8.497
San Francisco State University,Public,No,Yes,24513,8297,11037,0.4873,0.3403,8.135
University of San Francisco,Private,No,No,69987,17505,11979,0.2572,0.5035,8.591
San Jose State University,Public,No,Yes,25747,8057,10645,0.3876,0.3209,8.185
Santa Clara University,Private,No,No,74297,20250,12825,0.098,0.2752,9.008
Scripps College,Private,No,No,77588,27083,11938,0.0919,0.212,8.575
Simpson University,Private,No,Yes,46394,9179,6442,0.3486,0.5963,6.876
Saint Mary's College of California,Private,No,Yes,69071,14601,10869,0.1939,0.5082,8.258
Sonoma State University,Public,No,Yes,26537,8181,10468,0.371,0.3651,7.603
Vanguard University of Southern California,Private,No,Yes,48086,7409,8073,0.4606,0.9398,6.853
Southern California Institute of Architecture,Private,No,No,70734,13508,11371,0.2,0.2,6.584
University of Southern California,Private,No,No,77362,56494,15301,0.1705,0.2769,9.759
Thomas Aquinas College,Private,No,No,38164,14945,9216,0.2393,0.7265,7.403
Westmont College,Private,No,No,64240,19093,9639,0.237,0.8741,7.901
Adams State University,Public,No,Yes,22317,8574,6348,0.5838,0.7459,4.778
Colorado School of Mines,Public,No,No,36107,16922,12364,0.1282,0.4105,8.413
Colorado State University-Fort Collins,Public,No,No,27513,13703,10425,0.2075,0.3884,8.593
University of Denver,Private,No,No,69469,17516,11222,0.1638,0.4039,8.896
Fort Lewis College,Public,No,No,23881,8848,7287,0.4048,0.4236,7.012
Metropolitan State University of Denver,Public,No,Yes,19975,6444,7089,0.4094,0.3001,7.228
University of Northern Colorado,Public,No,No,23864,9142,7742,0.343,0.5297,7.956
Regis University,Private,No,No,51593,8381,7340,0.3306,0.499,7.844
Colorado State University Pueblo,Public,No,Yes,21950,4787,7155,0.4713,0.7816,7.352
Western Colorado University,Public,No,No,24194,10322,6627,0.3267,0.5622,7.266
University of Bridgeport,Private,No,Yes,53853,9601,7935,0.6168,0.7636,7.403
Central Connecticut State University,Public,No,No,22518,13840,9860,0.3915,0.5725,7.889
Connecticut College,Private,No,No,74590,18436,9776,0.1516,0.3543,8.496
University of Connecticut,Public,No,No,33896,21257,13183,0.2078,0.4153,8.627
Fairfield University,Private,No,No,67080,13989,11497,0.081,0.5712,8.531
University of Hartford,Private,No,No,57475,13844,7664,0.3483,0.7496,8.262
University of New Haven,Private,No,No,58438,10807,10225,0.2986,0.9506,7.844
University of Saint Joseph,Private,No,No,50959,14070,8586,0.3762,0.8416,7.541
Yale University,Private,No,No,76645,59736,19490,0.1981,0.0568,10.482
Delaware State University,Public,Yes,No,23888,9871,8379,0.5474,0.7218,7.348
University of Delaware,Public,No,No,28708,22057,13194,0.1882,0.5265,9.166
Wesley College,Private,No,No,40704,10156,7072,0.5844,0.9794,6.538
American University,Private,No,No,66416,16605,12033,0.1529,0.4039,8.848
Gallaudet University,Private,No,No,38892,37544,10092,0.5027,0.3279,8.269
George Washington University,Private,No,No,74023,23476,14724,0.1441,0.3423,9.25
Georgetown University,Private,No,No,76280,31957,15393,0.1305,0.2622,9.261
Howard University,Private,Yes,No,45971,21849,9638,0.4818,0.688,8.841
The Baptist College of Florida,Private,No,No,19926,8070,4865,0.4091,0.3182,6.895
Bethune-Cookman University,Private,Yes,No,30219,8904,6770,0.8122,0.8301,7.461
Johnson University Florida,Private,No,Yes,27611,9525,5505,0.6429,0.625,6.241
University of Central Florida,Public,No,Yes,21309,7551,10848,0.289,0.2342,8.212
Edward Waters University,Private,Yes,No,26503,3894,4975,0.9136,0.7636,6.225
Embry-Riddle Aeronautical University-Daytona Beach,Private,No,No,54724,14260,9778,0.228,0.5074,8.046
Florida Agricultural and Mechanical University,Public,Yes,No,23312,8919,8264,0.6487,0.6646,7.943
Florida Atlantic University,Public,No,Yes,21761,8341,9971,0.3823,0.3321,8.47
Flagler College,Private,No,No,35809,7471,7557,0.2969,0.6,7.845
AdventHealth University,Private,No,Yes,33648,10725,7949,0.42,0.42,6.936
Florida Institute of Technology,Private,No,No,59433,12808,9639,0.2617,0.4797,7.953
Florida International University,Public,No,Yes,19384,6435,10886,0.4973,0.8479,8.335
Florida Southern College,Private,No,No,52794,9228,8407,0.257,0.6652,7.977
Florida State University,Public,No,No,22278,11221,11160,0.2504,0.2435,8.848
University of Florida,Public,No,No,21151,16571,11900,0.2119,0.1346,9.26
University of Miami,Private,No,No,69563,34929,12854,0.1445,0.2601,8.999
University of North Florida,Public,No,No,19469,6321,8226,0.3352,0.3259,8.066
Nova Southeastern University,Private,No,Yes,50429,17707,10292,0.4079,0.4371,8.232
Palm Beach Atlantic University,Private,No,No,49839,10612,8110,0.3596,0.5327,7.934
University of South Florida,Public,No,No,21134,10084,10465,0.3073,0.2513,8.711
St. Thomas University,Private,No,Yes,46539,6657,9025,0.6724,0.6681,7.488
Southeastern University,Private,No,No,39276,3926,7315,0.4592,0.6199,6.959
The University of Tampa,Private,No,No,46341,7101,9410,0.159,0.786,7.628
Trinity Baptist College,Private,No,No,22571,2211,3980,0.4658,0.9726,4.903
Trinity College of Florida,Private,No,No,25963,5254,3680,0.697,0.8182,5.892
Webber International University,Private,No,No,42702,3169,4868,0.6411,0.7416,6.758
The University of West Florida,Public,No,No,17716,6427,9046,0.3161,0.2514,7.783
Point University,Private,No,No,34160,4732,5692,0.6514,0.7294,6.658
Clark Atlanta University,Private,Yes,No,39194,7106,8010,0.7245,0.8856,7.86
Brenau University,Private,No,No,44094,9264,7357,0.5699,0.6321,7.694
College of Coastal Georgia,Public,No,No,18200,6904,6998,0.4833,0.4411,6.924
Columbus State University,Public,No,No,19807,8459,7600,0.5219,0.5719,7.863
Covenant College,Private,No,No,49420,9549,7820,0.2329,0.4795,7.63
Emmanuel College,Private,No,No,31589,4510,5083,0.4512,0.6179,6.199
Emory University,Private,No,No,72604,45722,14515,0.2125,0.2365,9.936
Georgia Institute of Technology-Main Campus,Public,No,No,29291,12188,13626,0.1107,0.2093,9.348
Georgia Southwestern State University,Public,No,No,19125,7066,7002,0.5262,0.5759,7.592
Georgia College & State University,Public,No,No,28707,6816,7952,0.1821,0.3886,7.658
Georgia Southern University,Public,No,No,22608,6628,8027,0.3789,0.5272,7.886
Georgia State University,Public,No,No,27206,5838,9420,0.5069,0.4591,8.26
University of Georgia,Public,No,No,27329,9982,11603,0.1697,0.2695,9.128
LaGrange College,Private,No,No,46034,12393,6724,0.432,0.764,7.724
Mercer University,Private,No,No,52940,12778,8739,0.2889,0.5033,8.576
Oglethorpe University,Private,No,No,55451,5993,6971,0.365,0.5625,7.535
