Name,Type,HBCU,HSI,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Pell_Grant,Federal_Loan,logEndowment
Boston College,Private,No,No,75872,23094,15608,0.1354,0.3709,9.393
Boston University,Private,No,No,74911,32434,14614,0.1673,0.2475,9.36
Brandeis University,Private,No,No,76044,18616,13299,0.1367,0.2862,9.031
Bridgewater State University,Public,No,No,23845,9164,9852,0.4044,0.8724,7.737
Clark University,Private,No,No,58153,13305,11307,0.2316,0.6256,8.621
Curry College,Private,No,No,57260,13279,10294,0.3617,0.7948,7.994
Eastern Nazarene College,Private,No,No,41194,6819,5804,0.4692,0.8462,7.291
Emerson College,Private,No,No,72119,11139,10172,0.1401,0.4798,8.257
Emmanuel College,Private,No,No,58787,9000,8327,0.2423,0.7199,8.181
Framingham State University,Public,No,No,25810,7207,9408,0.4663,0.7578,7.659
Gordon College,Private,No,No,51869,10222,7272,0.2254,0.6761,7.869
Harvard University,Private,No,No,75914,45396,21143,0.1713,0.0261,10.612
College of the Holy Cross,Private,No,No,71448,21773,11598,0.1918,0.4934,8.895
Lasell University,Private,No,No,54730,8377,8324,0.362,0.7417,7.636
University of Massachusetts-Lowell,Public,No,No,29174,12485,12226,0.3295,0.6671,7.999
University of Massachusetts-Amherst,Public,No,No,31749,18111,12707,0.2118,0.5235,8.559
MCPHS University,Private,No,No,54955,11120,10249,0.3786,0.6908,9.054
Massachusetts Institute of Technology,Private,No,No,73160,81726,19640,0.1969,0.0735,10.242
Massachusetts Maritime Academy,Public,No,No,28602,10074,8632,0.1832,0.9109,7.427
Mount Holyoke College,Private,No,No,69578,25056,10865,0.1734,0.4234,8.9
Massachusetts College of Liberal Arts,Public,No,No,24458,13238,9026,0.5088,0.9684,7.132
Northeastern University,Private,No,No,73196,19043,13374,0.1245,0.3492,8.992
College of Our Lady of the Elms,Private,No,No,50266,7796,7202,0.3876,0.8371,7.076
Simmons University,Private,No,No,60221,17373,8055,0.2079,0.6859,8.292
Springfield College,Private,No,No,55078,11945,7916,0.2332,0.7567,7.903
University of Massachusetts-Dartmouth,Public,No,No,28948,14257,10774,0.5038,0.7791,7.765
Suffolk University,Private,No,No,57850,11020,11885,0.2782,0.6134,8.409
Tufts University,Private,No,No,76151,24748,12616,0.0986,0.2145,9.271
Wellesley College,Private,No,No,75198,32655,12485,0.2304,0.232,9.337
Wentworth Institute of Technology,Private,No,No,52232,10282,9258,0.2942,0.7058,8.065
Westfield State University,Public,No,No,24844,9728,10001,0.3349,0.7295,6.863
Wheaton College (Massachusetts),Private,No,No,70453,16333,9344,0.2151,0.745,8.328
Worcester State University,Public,No,No,21870,8553,9193,0.3599,0.6344,7.254
Adrian College,Private,No,No,54621,8946,6312,0.3796,0.7926,7.531
Albion College,Private,No,No,62041,13378,7257,0.4361,0.6602,8.231
Andrews University,Private,No,No,40948,12291,5178,0.2366,0.4731,7.745
Aquinas College,Private,No,No,43921,8423,6310,0.2918,0.5409,7.583
Calvin University,Private,No,No,50191,11477,8713,0.1877,0.4422,8.247
Central Michigan University,Public,No,No,25078,9254,9955,0.3502,0.7673,8.277
University of Detroit Mercy,Private,No,No,38440,13556,9650,0.3502,0.6265,7.841
Eastern Michigan University,Public,No,No,24994,7622,9791,0.4588,0.5789,7.894
Ferris State University,Public,No,No,23106,9934,9582,0.4602,0.6563,7.945
Kettering University,Private,No,No,58080,10258,8908,0.2023,0.5462,7.956
Cornerstone University,Private,No,No,35814,5996,6278,0.3144,0.8896,7.018
Hope College,Private,No,No,48607,12657,8336,0.1986,0.5434,8.366
Lake Superior State University,Public,No,No,23239,8855,6762,0.4127,0.5968,7.463
Madonna University,Private,No,No,35736,9955,7020,0.3811,0.7019,7.622
Rochester University,Private,No,No,33013,6710,6275,0.4706,0.7132,6.594
University of Michigan-Ann Arbor,Public,No,No,30926,25086,11865,0.1981,0.2799,10.089
Michigan State University,Public,No,No,28626,17219,11714,0.2193,0.3916,9.538
Michigan Technological University,Public,No,No,29765,11756,10694,0.2109,0.525,8.056
University of Michigan-Dearborn,Public,No,No,21509,10946,10606,0.363,0.3425,7.761
University of Michigan-Flint,Public,No,No,21376,10397,9389,0.4479,0.5243,8.069
Northwood University,Private,No,No,41997,6405,7169,0.2286,0.9036,7.991
Oakland University,Public,No,No,23778,8620,9609,0.3327,0.4683,8.027
Kuyper College,Private,No,No,33168,18598,5734,0.6364,0.8182,6.561
Saginaw Valley State University,Public,No,No,22353,7700,8429,0.3848,0.607,7.942
Spring Arbor University,Private,No,No,41548,5974,5819,0.2857,0.6636,7.242
Wayne State University,Public,No,No,24541,12491,11123,0.4699,0.4654,8.606
Western Michigan University,Public,No,No,26567,12438,9914,0.2624,0.5555,8.61
Augsburg University,Private,No,No,54069,11258,8329,0.617,0.8782,7.706
Bethel University,Private,No,No,52723,9611,7796,0.2328,0.631,7.697
Carleton College,Private,No,No,74275,33282,12689,0.1448,0.3714,8.951
Concordia College at Moorhead,Private,No,No,53819,6671,7408,0.2166,0.675,8.153
Martin Luther College,Private,No,No,27230,8894,4626,0.2738,0.5655,7.178
Hamline University,Private,No,No,51984,7502,8014,0.4753,0.6947,8.002
Macalester College,Private,No,No,71053,22586,10960,0.1833,0.4183,8.875
University of Minnesota-Twin Cities,Public,No,No,27654,16272,12182,0.1796,0.3989,9.57
University of Minnesota-Duluth,Public,No,No,25326,7827,8622,0.2119,0.618,8.278
University of Minnesota-Morris,Public,No,No,24636,12215,7536,0.3931,0.5031,7.225
Minnesota State University Moorhead,Public,No,No,22525,8407,9373,0.3184,0.6727,7.465
North Central University,Private,No,No,37644,5799,7090,0.4408,0.7429,6.521
Oak Hills Christian College,Private,No,No,30607,7043,4010,0.6429,0.6429,5.875
College of Saint Benedict,Private,No,No,60788,12460,8573,0.2397,0.6644,7.922
Saint Cloud State University,Public,No,No,19635,9135,9961,0.3525,0.5592,7.496
Saint Johns University,Private,No,No,59972,13950,8683,0.2126,0.6401,8.32
St Olaf College,Private,No,No,62880,18147,8799,0.2022,0.4777,8.733
Crown College,Private,No,No,41227,3032,5279,0.4087,0.7652,6.959
University of St Thomas,Private,No,No,57785,13684,10908,0.2258,0.4817,8.733
St Catherine University,Private,No,No,50794,11386,7496,0.4697,0.697,7.97
Southwest Minnesota State University,Public,No,No,20481,6339,9563,0.4089,0.6426,7.137
Winona State University,Public,No,No,22003,8524,9392,0.2678,0.6589,7.633
Alcorn State University,Public,Yes,No,24285,5581,6504,0.9219,0.9336,7.305
Belhaven University,Private,No,No,35975,3755,4784,0.431,0.6494,6.787
Blue Mountain College,Private,No,No,25475,7244,5486,0.3717,0.4956,7.299
Delta State University,Public,No,No,20678,7885,6576,0.4536,0.6393,7.566
Jackson State University,Public,Yes,No,24570,8056,7456,0.7675,0.7891,7.669
Millsaps College,Private,No,No,57996,12902,7864,0.4433,0.6995,7.957
University of Mississippi,Public,No,No,25562,16492,9377,0.2215,0.3781,8.867
Mississippi University for Women,Public,No,No,20684,6809,6227,0.6471,0.6588,7.742
Mississippi College,Private,No,No,34918,7914,7796,0.3145,0.4187,7.945
Mississippi State University,Public,No,No,25778,7424,8893,0.3011,0.4563,8.723
Tougaloo College,Private,Yes,No,22784,5116,4755,0.752,0.696,7.246
William Carey University,Private,No,No,23334,9564,5928,0.3786,0.2087,7.325
Central Methodist University-College of Liberal Arts and Sciences,Private,No,No,42630,11983,6504,0.4623,0.717,7.588
Culver-Stockton College,Private,No,No,40296,4651,5786,0.4173,0.8346,7.469
Drury University,Private,No,No,40913,8382,7544,0.345,0.5789,7.982
Hannibal-LaGrange University,Private,No,No,36128,5349,4989,0.3952,0.5726,6.93
Lindenwood University,Private,No,No,30609,6240,8397,0.2897,0.6551,8.226
Missouri Baptist University,Private,No,No,40548,5499,6145,0.3088,0.7018,6.619
Missouri Southern State University,Public,No,No,15867,7199,6057,0.5609,0.514,7.584
Missouri Valley College,Private,No,No,35425,4343,4593,0.4874,0.6782,6.831
University of Missouri-Columbia,Public,No,No,26902,13410,10231,0.2408,0.3988,9.022
University of Missouri-Kansas City,Public,No,No,22897,12168,9327,0.387,0.4194,8.184
Missouri University of Science and Technology,Public,No,No,23123,14754,10998,0.2088,0.4623,8.304
University of Missouri-St Louis,Public,No,No,24481,9520,9179,0.445,0.4312,7.954
Truman State University,Public,No,No,21640,10115,7293,0.2201,0.3888,7.704
Northwest Missouri State University,Public,No,No,20235,7318,7379,0.3683,0.6038,7.576
Rockhurst University,Private,No,No,53221,6573,7156,0.2665,0.5761,7.585
Saint Louis University,Private,No,No,61975,21275,10304,0.2109,0.5387,9.098
University of Health Sciences and Pharmacy in St. Louis,Private,No,No,47005,18116,9583,0.3111,0.7111,8.161
Southwest Baptist University,Private,No,No,35243,7669,5773,0.5035,0.6868,7.476
Stephens College,Private,No,No,38435,13826,6415,0.4595,0.964,7.709
Washington University in St Louis,Private,No,No,76910,139766,15456,0.1532,0.185,9.904
Webster University,Private,No,No,44260,9309,8773,0.3163,0.5765,8.111
Westminster College,Private,No,No,44500,8314,6422,0.3873,0.9155,7.716
William Jewell College,Private,No,No,49150,13054,6975,0.3274,0.9286,7.803
Carroll College,Private,No,No,50675,8576,6423,0.1994,0.5048,7.755
University of Providence,Private,No,No,40556,8764,6281,0.37,0.7,7.154
Montana Technological University,Public,No,No,21124,8939,7984,0.2491,0.4945,7.59
Montana State University,Public,No,No,22073,8354,7872,0.2011,0.3749,8.196
The University of Montana,Public,No,No,19958,10340,8282,0.3252,0.5254,8.319
Rocky Mountain College,Private,No,No,40804,10519,6482,0.3673,0.7143,7.506
The University of Montana-Western,Public,No,No,17790,7462,7091,0.4163,0.5525,6.762
Concordia University-Nebraska,Private,No,No,45672,5189,6054,0.2887,0.7251,7.733
Hastings College,Private,No,No,44893,8667,6118,0.3703,0.7373,8.006
University of Nebraska at Kearney,Public,No,No,23319,9996,7790,0.378,0.4609,7.775
Midland University,Private,No,No,45689,5827,6398,0.3249,0.7319,7.267
Nebraska Wesleyan University,Private,No,No,48718,7393,6221,0.2793,0.6324,7.767
University of Nebraska-Lincoln,Public,No,No,24400,11055,10946,0.2407,0.4225,9.117
Union College,Private,No,No,36243,11774,6011,0.4206,0.881,7.35
York College,Private,No,No,30571,6264,5457,0.4609,0.7391,7.228
University of Nevada-Las Vegas,Public,No,Yes,18756,12706,10937,0.4414,0.2585,8.467
University of Nevada-Reno,Public,No,No,23256,12652,10303,0.2861,0.3503,8.577
Sierra Nevada University,Private,No,No,50040,6866,4655,0.3393,0.4821,6.666
Dartmouth College,Private,No,No,77152,28084,15600,0.1479,0.1815,9.758
University of New Hampshire-Main Campus,Public,No,No,33940,11621,11294,0.2271,0.6579,8.604
University of New Hampshire at Manchester,Public,No,No,25244,11155,9778,0.5238,0.4762,6.281
Saint Anselm College,Private,No,No,61163,13277,8912,0.1277,0.7014,8.215
Thomas More College of Liberal Arts,Private,No,No,33111,10273,4962,0.4762,0.381,6.037
Bloomfield College,Private,No,Yes,43493,9372,9760,0.7637,0.9627,7.154
Caldwell University,Private,No,Yes,50245,8188,8250,0.5798,0.7573,6.676
Centenary University,Private,No,No,44856,8867,7276,0.385,0.69,6.97
Felician University,Private,No,Yes,49240,7477,7386,0.6929,0.6063,6.843
Georgian Court University,Private,No,No,45458,7485,8340,0.4064,0.6524,7.739
Rowan University,Public,No,No,34987,12306,9054,0.3209,0.6077,8.366
Kean University,Public,No,Yes,25863,9690,8684,0.571,0.5896,7.433
Monmouth University,Private,No,No,55898,11142,9321,0.3119,0.7243,8.038
New Jersey Institute of Technology,Public,No,No,31511,13922,12497,0.3488,0.3815,8.112
Princeton University,Private,No,No,74150,62979,20835,0.2472,0.021,10.409
Rider University,Private,No,No,61693,13475,11068,0.3664,0.7062,7.823
Rutgers University-Camden,Public,No,No,29130,14476,12115,0.5335,0.6032,7.672
Rutgers University-New Brunswick,Public,No,No,32022,16407,12327,0.2442,0.4418,9.053
Rutgers University-Newark,Public,No,Yes,27960,15332,14184,0.6173,0.407,8.186
Seton Hall University,Private,No,No,60646,12300,9912,0.2523,0.5691,8.43
Stevens Institute of Technology,Private,No,No,70591,12439,15374,0.2157,0.6677,8.351
Stockton University,Public,No,No,30721,7402,9963,0.4163,0.7094,7.489
The College of New Jersey,Public,No,No,35502,10556,10903,0.1841,0.5169,7.665
Eastern New Mexico University-Main Campus,Public,No,Yes,17897,5992,7109,0.5364,0.3309,7.138
New Mexico Institute of Mining and Technology,Public,No,Yes,22878,10615,8842,0.316,0.548,7.769
University of New Mexico-Main Campus,Public,No,Yes,19351,14196,9462,0.3924,0.5943,8.674
New Mexico State University-Main Campus,Public,No,Yes,19760,10868,8977,0.4919,0.396,7.627
Adelphi University,Private,No,No,53535,14277,12839,0.266,0.4786,8.27
Albany College of Pharmacy and Health Sciences,Private,No,No,50326,17196,9337,0.3081,0.7297,7.744
Alfred University,Private,No,No,50643,10997,6608,0.5131,0.8013,8.141
Barnard College,Private,No,No,77758,29073,14167,0.125,0.2179,8.561
Canisius College,Private,No,No,39217,9045,8410,0.3635,0.6564,8.111
Cazenovia College,Private,No,No,51761,11582,7303,0.578,0.8761,6.603
Clarkson University,Private,No,No,69456,13224,11114,0.2433,0.6958,8.305
Colgate University,Private,No,No,75000,26145,12086,0.0992,0.1934,8.977
Columbia University in the City of New York,Private,No,No,79750,102187,19660,0.1953,0.0711,10.039
Concordia College,Private,No,Yes,44662,7333,6598,0.6831,0.4481,7.124
Cooper Union for the Advancement of Science and Art,Private,No,No,61775,27505,12513,0.303,0.2172,8.933
Cornell University,Private,No,No,75204,31051,15241,0.153,0.3666,9.844
CUNY Bernard M Baruch College,Public,No,Yes,13569,10719,12178,0.6086,0.038,8.304
CUNY Brooklyn College,Public,No,No,13802,10818,11923,0.6573,0.0462,7.991
CUNY City College,Public,No,Yes,13667,20092,12493,0.6967,0.0438,8.506
CUNY Hunter College,Public,No,Yes,13219,11917,12214,0.6144,0.0471,8.133
CUNY John Jay College of Criminal Justice,Public,No,Yes,13549,12302,11422,0.6782,0.0564,7.038
CUNY Lehman College,Public,No,Yes,13704,11972,11218,0.7235,0.045,6.944
CUNY Queens College,Public,No,Yes,13768,10760,11635,0.5784,0.0726,7.86
CUNY York College,Public,No,Yes,13948,11592,11131,0.7155,0.0427,6.301
D'Youville College,Private,No,No,38790,11364,8030,0.4213,0.713,7.695
Elmira College,Private,No,No,48133,11742,5484,0.3594,0.8018,7.61
Fordham University,Private,No,No,71388,23173,14280,0.181,0.4717,8.865
Hamilton College,Private,No,No,72190,29779,11577,0.2156,0.4419,8.986
Hartwick College,Private,No,No,60479,13679,7953,0.4282,0.6037,7.885
Hobart William Smith Colleges,Private,No,No,74375,16382,8537,0.2167,0.6266,8.322
Iona College,Private,No,No,54052,9883,10022,0.3417,0.5881,8.204
Jewish Theological Seminary of America,Private,No,No,79512,18226,12200,0.0789,0.2368,8.152
Le Moyne College,Private,No,No,49194,11519,8766,0.367,0.7615,8.287
Long Island University,Private,No,No,50591,12865,12263,0.3629,0.605,8.378
Marymount Manhattan College,Private,No,No,59167,13409,8590,0.3571,0.8857,7.328
Mercy College,Private,No,Yes,29754,7301,9490,0.733,0.5155,8.408
Molloy College,Private,No,No,46531,12502,10871,0.3212,0.6287,7.61
Mount Saint Mary College,Private,No,No,47103,9034,8887,0.2708,0.747,6.778
College of Mount Saint Vincent,Private,No,Yes,51240,8362,8918,0.61,0.7732,7.426
The New School,Private,No,No,71907,15786,11989,0.1816,0.3478,8.601
New York University,Private,No,No,73759,34174,15475,0.1857,0.2649,9.625
Niagara University,Private,No,No,47384,8025,9228,0.3546,0.738,7.988
New York Institute of Technology,Private,No,No,49465,18024,12204,0.4767,0.5098,7.944
Nyack College,Private,No,Yes,38589,10107,7051,0.6735,0.7755,6.642
Pace University,Private,No,No,63709,10369,12427,0.2953,0.5629,8.286
Pratt Institute-Main,Private,No,No,69497,18234,11271,0.1637,0.382,8.312
Rensselaer Polytechnic Institute,Private,No,No,73816,18147,13112,0.164,0.4486,8.867
Roberts Wesleyan College,Private,No,No,45599,9068,6454,0.45,0.7591,7.455
Rochester Institute of Technology,Private,No,No,61063,20586,10551,0.3024,0.6469,8.981
University of Rochester,Private,No,No,75190,30380,12851,0.1847,0.3973,9.365
St Bonaventure University,Private,No,No,50646,8091,6575,0.2663,0.9512,7.855
St. Francis College,Private,No,Yes,32776,8958,8833,0.5057,0.3703,7.847
St Lawrence University,Private,No,No,73045,17759,10207,0.2182,0.5587,8.499
St. Thomas Aquinas College,Private,No,No,47572,8964,9005,0.3992,0.5556,7.72
Sarah Lawrence College,Private,No,No,74123,21734,10229,0.1131,0.4347,8.052
Skidmore College,Private,No,No,74140,22009,10120,0.176,0.3547,8.573
St. Joseph's University-New York,Private,No,No,35122,8879,9147,0.3385,0.5694,7.629
Saint John Fisher College,Private,No,No,49242,11872,8684,0.2479,0.772,7.977
St. John's University-New York,Private,No,No,55877,11914,12415,0.3573,0.4693,8.858
SUNY College of Technology at Canton,Public,No,No,23026,10082,6822,0.6142,0.766,7.153
SUNY College of Agriculture and Technology at Cobleskill,Public,No,No,25633,11623,6721,0.5567,0.6929,6.929
Farmingdale State College,Public,No,No,16856,10189,8418,0.3863,0.2729,6.455
SUNY at Albany,Public,No,No,26563,13970,9904,0.4184,0.6199,7.876
Binghamton University,Public,No,No,28010,12038,10035,0.2451,0.4801,8.069
University at Buffalo,Public,No,No,26958,15660,10664,0.3378,0.4998,8.902
Stony Brook University,Public,No,No,26270,18899,12468,0.3692,0.3832,8.425
SUNY College of Environmental Science and Forestry,Public,No,No,29680,19457,8799,0.2776,0.4958,7.59
SUNY Polytechnic Institute,Public,No,No,23194,13137,9553,0.4183,0.6213,6.787
SUNY Brockport,Public,No,No,24340,11605,7639,0.4327,0.7252,7.141
SUNY Buffalo State,Public,No,No,23111,12099,7954,0.6772,0.622,7.728
SUNY Cortland,Public,No,No,25585,10068,6876,0.2684,0.6694,7.625
SUNY at Fredonia,Public,No,No,23327,12340,7186,0.4835,0.7417,7.546
SUNY College at Geneseo,Public,No,No,26266,11171,7723,0.2708,0.6264,7.496
State University of New York at New Paltz,Public,No,No,25615,11536,7441,0.3728,0.5703,7.449
SUNY Oneonta,Public,No,No,25628,9798,6915,0.3584,0.6444,7.787
SUNY College at Oswego,Public,No,No,24970,10995,7258,0.4382,0.6502,7.608
SUNY at Purchase College,Public,No,Yes,27991,13643,7503,0.3587,0.5323,7.892
SUNY College at Old Westbury,Public,No,Yes,19786,10300,9061,0.605,0.3273,5.322
SUNY College at Plattsburgh,Public,No,No,25786,11657,7162,0.4558,0.6587,7.336
SUNY Maritime College,Public,No,No,26864,10562,7473,0.2122,0.4709,6.901
Union College,Private,No,No,69879,21862,11247,0.1582,0.5073,8.672
Vassar College,Private,No,No,75203,33308,11788,0.2017,0.3788,9.051
Webb Institute,Private,No,No,72690,22791,10349,0.0769,0.3077,7.837
Yeshiva University,Private,No,No,64050,18597,12606,0.1473,0.2473,8.702
Appalachian State University,Public,No,No,19661,7590,8290,0.2809,0.4631,8.079
Barton College,Private,No,No,46539,8042,5958,0.4577,0.7398,7.472
Belmont Abbey College,Private,No,No,31943,5688,5344,0.337,0.5897,6.984
Campbell University,Private,No,No,51131,13053,8822,0.3017,0.5326,8.183
Catawba College,Private,No,No,44235,10062,7121,0.4392,0.7507,7.833
Chowan University,Private,No,No,37161,5441,7110,0.7698,0.9153,7.418
Davidson College,Private,No,No,70744,19989,11047,0.1442,0.1461,8.945
Duke University,Private,No,No,77846,70393,16663,0.1213,0.1883,9.935
East Carolina University,Public,No,No,22301,11977,8561,0.3376,0.5746,8.328
Elizabeth City State University,Public,Yes,No,12754,9116,7714,0.727,0.6955,7.088
Elon University,Private,No,No,52587,17855,9401,0.0989,0.299,8.431
Fayetteville State University,Public,Yes,No,16623,7540,8478,0.7474,0.6399,7.386
Gardner-Webb University,Private,No,No,45333,8058,6797,0.4763,0.6384,7.848
Greensboro College,Private,No,No,30302,6877,5360,0.547,0.8232,7.406
Guilford College,Private,No,No,53479,9406,6237,0.4921,0.6342,7.893
High Point University,Private,No,No,54296,10969,7850,0.1057,0.4329,7.818
Johnson C Smith University,Private,Yes,No,33444,8618,6467,0.8179,0.8951,7.839
Lees-McRae College,Private,No,No,43437,7017,5233,0.3276,0.6782,7.487
Livingstone College,Private,Yes,No,28312,5337,5442,0.8371,0.8657,6.696
Meredith College,Private,No,No,50390,11771,7619,0.3733,0.6773,8.063
Methodist University,Private,No,No,55751,11159,7202,0.4171,0.6872,7.324
Montreat College,Private,No,No,40841,4822,5617,0.4269,0.7778,6.967
University of Mount Olive,Private,No,No,32055,3968,6679,0.5764,0.7674,7.559
North Carolina A & T State University,Public,Yes,No,18348,7631,8745,0.61,0.7885,7.904
University of North Carolina at Asheville,Public,No,No,20127,9484,8255,0.3761,0.5153,7.729
University of North Carolina at Chapel Hill,Public,No,No,24220,27996,12795,0.2093,0.2076,9.546
University of North Carolina at Charlotte,Public,No,No,23478,9256,9886,0.3086,0.5099,8.362
University of North Carolina at Greensboro,Public,No,No,19179,9534,8600,0.5457,0.6209,8.491
North Carolina Central University,Public,Yes,No,24075,10924,8423,0.7439,0.8035,7.597
University of North Carolina School of the Arts,Public,No,No,21755,22167,7626,0.2692,0.5769,7.889
North Carolina State University at Raleigh,Public,No,No,24202,15681,11096,0.1822,0.4047,9.146
North Carolina Wesleyan College,Private,No,No,44530,5106,6134,0.5821,0.7179,7.012
University of North Carolina Wilmington,Public,No,No,24837,8470,8608,0.2322,0.4725,8.021
William Peace University,Private,No,No,47624,4895,5803,0.4703,0.9676,7.701
University of North Carolina at Pembroke,Public,No,No,15952,6403,7462,0.6083,0.6727,7.396
Pfeiffer University,Private,No,No,44387,9609,6915,0.581,0.8142,7.152
Queens University of Charlotte,Private,No,No,49480,9355,7051,0.2478,0.7761,8.183
Mid-Atlantic Christian University,Private,No,No,30542,6894,4979,0.6111,0.6667,6.544
Saint Augustine's University,Private,Yes,No,32073,4547,5719,0.8192,0.9,7.313
Salem College,Private,No,No,44461,9135,5941,0.7037,0.7222,7.777
Warren Wilson College,Private,No,No,52526,11360,5663,0.4681,0.6766,7.714
Winston-Salem State University,Public,Yes,No,20382,9121,8323,0.757,0.8557,7.548
Western Carolina University,Public,No,No,18462,7402,7859,0.3709,0.5988,7.937
Dickinson State University,Public,No,No,17708,9877,6935,0.3212,0.5078,6.806
University of Jamestown,Private,No,No,34565,9633,6729,0.25,0.7109,7.585
University of Mary,Private,No,No,30194,7759,7741,0.2083,0.6667,7.749
Mayville State University,Public,No,No,18727,8618,6116,0.219,0.6571,6.906
Minot State University,Public,No,No,16896,7717,7449,0.2718,0.5179,7.498
University of North Dakota,Public,No,No,23119,16447,8968,0.1868,0.6004,8.422
North Dakota State University-Main Campus,Public,No,No,22201,10213,9348,0.1892,0.6239,5.708
Trinity Bible College and Graduate School,Private,No,No,28799,8525,3874,0.7222,0.9722,6.004
Valley City State University,Public,No,No,18712,11985,6177,0.3035,0.6915,6.969
University of Akron Main Campus,Public,No,No,24604,10436,10276,0.3544,0.5466,8.35
Ashland University,Private,No,No,33775,11148,6959,0.4079,0.6727,7.656
Baldwin Wallace University,Private,No,No,48655,13153,8205,0.3228,0.9563,8.188
Bowling Green State University-Main Campus,Public,No,No,24529,9073,9648,0.2867,0.599,8.221
Case Western Reserve University,Private,No,No,69526,32736,12102,0.1776,0.6817,9.271
Cedarville University,Private,No,No,42318,9041,7948,0.2115,0.5267,7.549
The Christ College of Nursing and Health Sciences,Private,No,No,24950,6958,6698,0.4063,0.7188,6.939
University of Cincinnati-Main Campus,Public,No,No,26892,11284,10309,0.1742,0.4964,9.161
Cleveland Institute of Art,Private,No,No,59708,12763,5966,0.471,0.7613,7.439
Cleveland State University,Public,No,No,24010,9969,9570,0.4691,0.59,7.966
University of Dayton,Private,No,No,60900,13642,9005,0.1828,0.5485,8.78
Defiance College,Private,No,No,46420,8734,5922,0.5944,0.8667,7.202
Denison University,Private,No,No,69128,20958,9402,0.1232,0.3328,8.948
The University of Findlay,Private,No,No,47032,10282,7434,0.2832,0.7726,7.626
Heidelberg University,Private,No,No,44381,9110,6548,0.3474,0.8338,7.716
Hiram College,Private,No,No,50555,8281,6306,0.5727,0.8811,7.86
John Carroll University,Private,No,No,57651,10896,8402,0.1945,0.6538,8.349
Kent State University at Kent,Public,No,No,25836,9122,9450,0.3068,0.6335,8.171
Kenyon College,Private,No,No,74550,22699,9129,0.0945,0.2546,8.625
Lake Erie College,Private,No,No,45740,6090,6444,0.4806,0.733,7.522
Lourdes University,Private,No,No,37498,7539,5004,0.4563,0.7524,6.927
Malone University,Private,No,No,44743,8435,6412,0.4059,0.7322,7.329
Marietta College,Private,No,No,49601,15569,7517,0.3477,0.5431,7.947
Mercy College of Ohio,Private,No,No,22784,8661,6993,0.3871,0.9355,7.335
Miami University-Oxford,Public,No,No,33805,11180,10541,0.1247,0.4096,8.747
University of Mount Union,Private,No,No,44497,9273,7168,0.3243,0.9117,8.166
Mount Vernon Nazarene University,Private,No,No,43341,6494,6217,0.3735,0.7377,7.355
Mount Saint Joseph University,Private,No,No,39248,9020,7211,0.3611,0.8194,7.776
Oberlin College,Private,No,No,77124,25740,9075,0.0977,0.3521,8.993
Ohio Northern University,Private,No,No,49392,12810,8884,0.227,0.6809,8.206
Ohio State University-Main Campus,Public,No,No,27202,18429,12723,0.1889,0.3496,9.719
Ohio University-Main Campus,Public,No,No,29534,11176,8779,0.2498,0.6224,8.764
Otterbein University,Private,No,No,45773,10601,8125,0.3451,0.9246,8.006
Franciscan University of Steubenville,Private,No,No,39788,7827,8229,0.25,0.6653,7.804
University of Toledo,Public,No,No,25118,12891,9315,0.3422,0.5506,8.491
Ursuline College,Private,No,No,44600,13192,6323,0.5326,0.9348,7.378
Walsh University,Private,No,No,42869,7323,6284,0.3807,0.6904,7.453
Wilberforce University,Private,Yes,No,23450,6565,4872,0.8915,0.8605,6.827
Wilmington College,Private,No,No,38642,5618,5602,0.4633,0.9501,7.583
Wright State University-Main Campus,Public,No,No,23009,11068,9408,0.4119,0.5941,8.097
Xavier University,Private,No,No,58260,11792,8731,0.1378,0.551,8.299
Youngstown State University,Public,No,No,18929,7498,8596,0.4376,0.5269,8.439
Bacone College,Private,No,No,31050,3144,4560,0.6575,0.5342,6.865
Oklahoma Wesleyan University,Private,No,No,40883,7902,5849,0.3962,0.7044,6.869
East Central University,Public,No,No,16681,8379,5870,0.5354,0.3396,7.527
Randall University,Private,No,No,27838,3385,4126,0.4561,0.4737,5.531
Northeastern State University,Public,No,No,17889,9217,7159,0.5635,0.4979,7.303
Northwestern Oklahoma State University,Public,No,No,17928,7228,6587,0.5263,0.5117,7.416
Oklahoma Christian University,Private,No,No,37015,7774,6680,0.2583,0.5703,7.569
Oklahoma State University-Main Campus,Public,No,No,23906,10837,9380,0.2666,0.4468,8.645
Oklahoma Baptist University,Private,No,No,42983,7542,7437,0.3586,0.5657,8.115
Oklahoma City University,Private,No,No,44942,14402,7346,0.2232,0.4404,8.106
University of Oklahoma-Norman Campus,Public,No,No,29577,12039,10394,0.23,0.3838,7.818
Oral Roberts University,Private,No,No,44006,6857,7607,0.4284,0.6133,7.653
University of Science and Arts of Oklahoma,Public,No,No,18540,8938,6024,0.4889,0.4722,7.415
Southeastern Oklahoma State University,Public,No,No,16367,6354,6663,0.492,0.3645,7.431
University of Tulsa,Private,No,No,58637,16539,10638,0.2857,0.4588,9.053
George Fox University,Private,No,No,51439,12633,7761,0.278,0.7352,7.396
Lewis & Clark College,Private,No,No,68735,16988,9927,0.1755,0.8185,8.374
Linfield University-McMinnville Campus,Private,No,No,58485,13721,7084,0.305,0.6906,7.931
Bushnell University,Private,No,No,43464,4829,5660,0.4513,0.6372,7.176
